Problem Family,Problem Variation,Relevant?,Year of creation,"Type of Bound 
(trivial - obvious, full - has been proved and published, 
none - no bound, -- is an extra resource and not a bound )",Restricted Version?,Transition Class,Reduction Type,Run Time Lower Bound,Time Complexity Class,Exact Inapprox. Ratio,Parameter,"""Rounded"" Inapprox Ratio",Approximation Factor Class (Mult),Fixed Parameters,Lower Bound (input-based),Model of Computation,Link,Year,Key / Authors,Paper,"Randomized? (N = No, Y = Yes)","Conditional? (N = No, Y = Yes)",Conditional conjecture,Derived by:,Caveats/Notes
Clique Problems,Max-Size Clique (Approximate),1,,,,,,,7,$\frac{N}{2^{(\log n)^{1-c}}}$,fixed c>0,$N$,8.96,,,RAM,https://theoryofcomputing.org/articles/v003a006/,2007,David Zuckerman,Linear Degree Extractors and the Inapproximability of Max Clique and Chromatic Number,N,Y,NP not in $DTIME(2^{poly \log n})$ (or $\tilde{P}\neq N\tilde{P}$),,
Graph Coloring,Chromatic Number Approximation,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Graph Coloring,Chromatic Number Approximation,1,,,,,reducing to the same problem,polynomial,7,$2-\epsilon$,any epsilon>0,$2$,3,,,RAM,https://dl.acm.org/doi/10.1145/321921.321926,1976,Michael Randolph Garey and D. S. Johnson,The Complexity of Near-Optimal Graph Coloring,N,Y,P not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/146}$,,$N^{1/121}$,7.016,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NP not a subset of BPP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/121}$,,$N^{1/121}$,7.016,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NEXP not a subset of BPEXP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,gap reduction,polynomial,7,$N^c$,fixed c>0,$N^{.0001}$,7.001,,,RAM,https://dl.acm.org/doi/pdf/10.1145/185675.306789,1994,Carsten Lund and Mihalis Yannakakis ,On the Hardness of Approximating Minimization Problems,N,Y,P not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/71-\epsilon}$,any epsilon>0,$N^{1/71}$,7.028,,,RAM,https://dl.acm.org/doi/10.1145/195058.195128,1994,"Uri Feige, Joe Kilian",Two prover protocols: low error at affordable rates,Y,Y,NP not a subset of coRP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,gap reduction?,polynomial,7,$N^{1/10-\epsilon}$,any epsilon>0,$N^{1/10}$,7.2,,,RAM,https://dl.acm.org/doi/pdf/10.1145/195058.195129,1994,"Mihir Bellare, Madhu Sudan",Improved Non-Approximability Results,N,Y,$coR\tilde{P}\neq N\tilde{P}$,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/13-\epsilon}$,any epsilon>0,$N^{1/13}$,7.153,,,RAM,https://dl.acm.org/doi/10.1145/195058.195129,1994,"Mihir Bellare, Madhu Sudan",Improved Non-Approximability Results,N,Y,coRP not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/14-\epsilon}$,any epsilon>0,$N^{1/14}$,7.142,,,RAM,https://dl.acm.org/doi/10.1145/195058.195129,1994,"Mihir Bellare, Madhu Sudan",Improved Non-Approximability Results,N,Y,P not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/7-\epsilon}$,any epsilon>0,$N^{1/7}$,7.285,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,P not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/5-\epsilon}$,any epsilon>0,$N^{1/5}$,7.4,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,coRP not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1/5-\epsilon}$,any epsilon>0,$N^{1/5}$,7.4,,,RAM,https://ieeexplore.ieee.org/document/492572,1995,Martin Furer,Improved hardness results for approximating the chromatic number,Y,Y,NP not equal ZPP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://www.sciencedirect.com/science/article/pii/S0022000098915872,1998,"Uri Feige, Joe Kilian",Zero Knowledge and the Chromatic Number,Y,Y,NP not equal ZPP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,,7,$\frac{N}{2^{(\log n)^{1-c}}}$,fixed c>0,$N$,8.96,,,RAM,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=959936,2002,Subhash Khot,"Improved Inapproximability Results for MaxClique, Chromatic Number and
Approximate Graph Coloring",N,Y,NP not a subset of ZPTIME(2^((log n)^(O(1)))),,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://theoryofcomputing.org/articles/v003a006/,2007,David Zuckerman,Linear Degree Extractors and the Inapproximability of Max Clique and Chromatic Number,N,Y,P not equal NP,,
Graph Coloring,Chromatic Number Approximation,1,,,,,,,7,$\frac{N}{2^{(\log n)^{1-c}}}$,fixed c>0,$N$,8.96,,,RAM,https://theoryofcomputing.org/articles/v003a006/,2007,David Zuckerman,Linear Degree Extractors and the Inapproximability of Max Clique and Chromatic Number,N,Y,NP not in $DTIME(2^{poly \log n})$ (or $\tilde{P}\neq N\tilde{P}$),,
Graph Coloring,Chromatic Number Approximation,1,,,,,,polynomial,7,$\frac{N}{2^{(\log n)^{3/4+\epsilon}}}$,any epsilon>0,$N^{1-(\log N)^{-1/4}}$,8.96,,,RAM,https://link.springer.com/chapter/10.1007/11786986_21,2006,Subhash Khot and Ashok Kumar Ponnuswami,"Better Inapproximability Results for MaxClique,
Chromatic Number and Min-3Lin-Deletion",N,Y,NP not a subset of ZPTIME(2^((log n)^(O(1)))),,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,PTAS,,,2,,,RAM,https://madhu.seas.harvard.edu/papers/1992/almss-conf.pdf,1992,"Sanjeev Arora, Carsten Lund, Rajeev Motwani, Madhu Sudan, Mario Szegedy",Proof Verification and Hardness of Approximation Problems,N,Y,P not equal NP,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$1.0688$,,$1.0688$,2.068,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,P not equal NP,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$\frac{7}{6}$,,$\frac{7}{6}$,2.166,,,RAM,https://www.cs.umd.edu/~gasarch/BLOGPAPERS/max3satl.pdf,2001,Johan Hastad,Some Optimal Inapproximability Results,N,Y,P not equal NP,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$10\sqrt5 - 21$,,$1.361$,2.361,,,RAM,https://www.wisdom.weizmann.ac.il/~dinuri/mypapers/vc.pdf,2005,Irit Dinur and Samuel Safra,On the hardness of approximating minimum vertex cover,N,Y,P not equal NP,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$\sqrt2-\epsilon$,any epsilon>0,$1.414214$,2.414,,,RAM,https://dl.acm.org/doi/pdf/10.1145/3055399.3055432,2017,"Subhash Khot, Dor Minzer, Muli Safra","On Independent Sets, 2-to-2 Games, and Grassmann Graphs",N,Y,P not equal NP,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$\tfrac{3}{2}$,,$\frac{3}{2}$,2.5,,,LP,https://dl.acm.org/doi/abs/10.1145/2746539.2746550,2015,"Gábor Braun, Sebastian Pokutta, Daniel Zink",Inapproximability of Combinatorial Problems via Small LPs and SDPs,N,Y,?,,
The Vertex Cover Problem,"The Vertex Cover Problem, General (Approximate)",1,,,,,,polynomial,7,$2-\epsilon$,any epsilon>0,$2$,2.99,,,RAM,https://www.sciencedirect.com/science/article/pii/S0022000007000864,2007,"Subhash Khot, Oded Regev",Vertex cover might be hard to approximate to within $2-\epsilon$,N,Y,"Unique Games Conjecture, P not equal NP",,
The Vertex Cover Problem,"The Vertex Cover Problem, Sparse (Approximate)",1,,,,,gap reduction,polynomial,7,$2 - (2+o(1))\frac{\log\log d}{\log d}$,d - maximum degree,$2$,2.99,,,RAM,https://ieeexplore.ieee.org/abstract/document/5231231,2009,"Per Austrin, Subhash Khot, Muli Safra",Inapproximability of Vertex Cover and Independent Set in Bounded Degree Graphs,Y,Y,"Unique Games Conjecture, P not equal NP",,
Independent Set,Independent Set (Approximate),1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Independent Set,Independent Set (Approximate),1,,,,,,polynomial,7,$\frac{d}{2^{O(\sqrt{\log d})}}$,d - maximum degree,$\frac{d}{2^{O(\sqrt{\log d})}}$,8.96,,,RAM,https://dl.acm.org/doi/10.1145/380752.380839,2001,Luca Trevisan,Non-approximability results for optimization problems on bounded degree instances,N,Y,P not equal NP,,
Independent Set,Independent Set (Approximate),1,,,,,gap reduction,polynomial,7,$O\left(\frac{d}{\log^2 d}\right)$,d - maximum degree,$O\left(\frac{d}{\log^2 d}\right)$,8.98,,,RAM,https://ieeexplore.ieee.org/abstract/document/5231231,2009,"Per Austrin, Subhash Khot, Muli Safra",Inapproximability of Vertex Cover and Independent Set in Bounded Degree Graphs,N,Y,"Unique Games Conjecture, P not equal NP",,
Independent Set,Independent Set (Approximate),1,,,,,their own method?,polynomial,7,$N^c$,fixed c>0,$N^{.0001}$,7.001,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bs1992.pdf,1992,Piotr Berman and Georg Schnitger,On the Complexity of Approximating the independent Set Problem,Y,Y,Max 2SAT doesn't have randomized PTAS,,
Longest Path Problem,"Longest Path, Directed (Approximate)",1,,trivial,,,,constant,1,$n$,,$n$,9,,,,,,,,N,N,,,
Longest Path Problem,"Longest Path, Undirected (Approximate)",1,,,,,reducing to the same problem,polynomial,7,$2^{O(\log^{1-\epsilon}n)}$,any epsilon>0,$N^{.0001}$,7.001,,,RAM,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5e5ead387baf1f9b8962733e994dff0cd7ab4d33,1993,"David Karger, Rajeev Motwani, G.D.S Ramkumar",On Approximating the Longest Path in a Graph,N,Y,NP does not have a quasi-polynomial deterministic time simulation,,
Longest Path Problem,"Longest Path, Directed (Approximate)",1,,,,,,polynomial,7,$N^{1-\epsilon}$,any epsilon>0,$N$,8.96,,,RAM,https://link.springer.com/chapter/10.1007/978-3-540-27836-8_21,2004,"Andreas Björklund, Thore Husfeldt & Sanjeev Khanna",Approximating Longest Directed Paths and Cycles,N,Y,P not equal NP,,
Longest Path Problem,"Longest Path, Directed (Approximate)",1,,,,,,polynomial,7,$\frac{N}{\log^{2+\epsilon}N}$,any epsilon>0,$N$,8.98,,,RAM,https://link.springer.com/chapter/10.1007/978-3-540-27836-8_21,2004,"Andreas Björklund, Thore Husfeldt & Sanjeev Khanna",Approximating Longest Directed Paths and Cycles,N,Y,ETH,,(theorem statement may be slightly different?)
Wiener Index,Minimum Wiener Connector problem,1,,,,,gap reduction,polynomial,7,PTAS,,,2,,,RAM,https://dl.acm.org/doi/pdf/10.1145/2723372.2749449,2015,"Natali Ruchansky, Francesco Bonchi, David García-Soriano, Francesco Gullo, Nicolas Kourtellis",The Minimum Wiener Connector Problem,N,Y,P not equal NP,,
Longest Common Subsequence,Multiple Longest Common Subsequence (Approximate),0,,,,,strict?,polynomial,7,$N^{c}$,fixed c>0,$N^{.0001}$,7.001,,,RAM,https://link.springer.com/chapter/10.1007/3-540-58201-0_68,2005,Tao Jiang and Ming Li,On the approximation of shortest common supersequences and longest common subsequences,N,Y,P not equal NP,,
Graph Edit Distance Computation,Inexact GED,0,,,,,,polynomial,7,$\alpha$,any $\alpha$ that is a function of $N$,,,,,RAM,https://arxiv.org/abs/1908.00265,2019,David B. Blumenthal,New Techniques for Graph Edit Distance Computation,N,Y,P not equal NP,,
Graph Edit Distance Computation,"Inexact GED, Metric",0,,,,,,polynomial,7,$c$,any c>0,$1000000$,4,,,RAM,https://arxiv.org/abs/1908.00265,2019,David B. Blumenthal,New Techniques for Graph Edit Distance Computation,N,Y,P not equal NP,,
Graph Edit Distance Computation,"Inexact GED, Uniform",0,,,,,,polynomial,7,$\alpha$,any $\alpha$ that is a function of $N$,,,,,RAM,https://arxiv.org/abs/1908.00265,2019,David B. Blumenthal,New Techniques for Graph Edit Distance Computation,N,Y,Graph Isomorphism is not in P,,
